tool,,CPAchecker 2.3.1-svn-45350M,CPAchecker 2.3.1-svn-45350M,CPAchecker 2.3.1-svn-45350M,CPAchecker 2.3.1-svn-45350M,CPAchecker 2.3.1-svn-45350M,CPAchecker 2.3.1-svn-45350M
run set,,k1-princess_binary,k1-princess_binary,k1-princess_binary,k1-princess,k1-princess,k1-princess
../programs/benchmarks/,,status,cputime (s),memory (MB),status,cputime (s),memory (MB)
loop-lit/gcnr2008.yml,false,false(unreach-call),5.818812041,178.601984,false(unreach-call),6.223539667,188.637184
nla-digbench-scaling/dijkstra-u_unwindbound100.yml,false,false(unreach-call),9.036927298,207.458304,false(unreach-call),8.980999741,216.420352
nla-digbench-scaling/dijkstra-u_unwindbound20.yml,false,false(unreach-call),8.390222097,208.154624,false(unreach-call),8.931012768,220.540928
nla-digbench-scaling/dijkstra-u_unwindbound50.yml,false,false(unreach-call),8.151986828,210.145280,false(unreach-call),8.738154799,229.744640
nla-digbench-scaling/divbin_unwindbound100.yml,false,false(unreach-call),7.23709217,200.904704,false(unreach-call),6.89621422,208.814080
nla-digbench-scaling/divbin_unwindbound20.yml,false,false(unreach-call),7.033760235,193.683456,false(unreach-call),7.332428023,208.257024
nla-digbench-scaling/divbin_unwindbound50.yml,false,false(unreach-call),7.122199712,199.954432,false(unreach-call),6.826580846,203.739136
nla-digbench-scaling/egcd3-ll_unwindbound100.yml,false,false(unreach-call),7.446276098,205.930496,false(unreach-call),7.321821861,200.151040
nla-digbench-scaling/egcd3-ll_unwindbound20.yml,false,false(unreach-call),7.60246683,209.272832,false(unreach-call),7.281203084,205.524992
nla-digbench-scaling/egcd3-ll_unwindbound50.yml,false,false(unreach-call),7.837421854,212.582400,false(unreach-call),7.650672981,210.112512
nla-digbench-scaling/hard-ll_unwindbound100.yml,false,false(unreach-call),7.462210875,202.371072,false(unreach-call),7.477591278,205.713408
nla-digbench-scaling/hard-ll_unwindbound20.yml,false,false(unreach-call),7.585279578,193.871872,false(unreach-call),7.103416112,205.139968
nla-digbench-scaling/hard-ll_unwindbound50.yml,false,false(unreach-call),7.294299255,192.917504,false(unreach-call),8.01157319,208.502784
nla-digbench-scaling/hard-u_unwindbound100.yml,false,false(unreach-call),7.538007629,203.247616,false(unreach-call),7.129228414,203.894784
nla-digbench-scaling/hard-u_unwindbound20.yml,false,false(unreach-call),7.817877642,200.740864,false(unreach-call),7.230166708,193.818624
nla-digbench-scaling/hard-u_unwindbound50.yml,false,false(unreach-call),7.776286875,208.654336,false(unreach-call),7.403310758,205.639680
nla-digbench-scaling/lcm1_unwindbound100.yml,false,false(unreach-call),7.606998076,206.336000,false(unreach-call),6.965548928,202.342400
nla-digbench-scaling/lcm1_unwindbound20.yml,false,false(unreach-call),7.219679491,204.767232,false(unreach-call),7.410993425,206.876672
nla-digbench-scaling/lcm1_unwindbound50.yml,false,false(unreach-call),7.771460071,204.185600,false(unreach-call),7.397031216,194.007040
nla-digbench-scaling/ps4-ll_unwindbound100.yml,false,false(unreach-call),7.057136471,202.543104,false(unreach-call),6.705639634,196.009984
product-lines/email_spec3_product13.cil.yml,false,false(unreach-call),10.946568076,242.122752,false(unreach-call),11.596626524,246.337536
product-lines/email_spec3_product17.cil.yml,false,false(unreach-call),11.176647964,236.687360,false(unreach-call),12.028749844,246.587392
product-lines/email_spec3_product18.cil.yml,false,false(unreach-call),11.264158019,249.061376,false(unreach-call),11.419533426,242.634752
product-lines/email_spec3_product19.cil.yml,false,false(unreach-call),11.588841262,241.254400,false(unreach-call),10.983467709,243.093504
product-lines/email_spec3_product23.cil.yml,false,false(unreach-call),11.993618754,248.430592,false(unreach-call),12.626391109,249.638912
product-lines/email_spec3_product24.cil.yml,false,false(unreach-call),11.119070607,239.271936,false(unreach-call),11.682442157,220.360704
product-lines/email_spec3_product25.cil.yml,false,false(unreach-call),12.009576046,245.989376,false(unreach-call),12.103764196,234.274816
product-lines/email_spec3_product27.cil.yml,false,false(unreach-call),11.547574728,240.136192,false(unreach-call),12.658828691,301.383680
product-lines/email_spec3_product28.cil.yml,false,false(unreach-call),12.260985122,267.415552,false(unreach-call),11.862729755,239.452160
product-lines/email_spec3_product29.cil.yml,false,false(unreach-call),12.714483105,241.491968,false(unreach-call),12.173765305,252.899328
product-lines/email_spec3_product30.cil.yml,false,false(unreach-call),12.368377636,238.112768,false(unreach-call),11.430033186,249.741312
product-lines/email_spec3_product31.cil.yml,false,false(unreach-call),11.775748379,238.432256,false(unreach-call),12.047452972,249.237504
product-lines/email_spec3_product32.cil.yml,false,false(unreach-call),12.09276937,234.565632,false(unreach-call),12.182054091,242.839552
product-lines/email_spec3_product33.cil.yml,false,false(unreach-call),12.777886346,280.981504,false(unreach-call),11.650881652,253.906944
product-lines/email_spec3_product34.cil.yml,false,false(unreach-call),15.632389677,235.335680,false(unreach-call),14.460654904,248.176640
product-lines/email_spec3_product35.cil.yml,false,false(unreach-call),13.216658282,256.438272,false(unreach-call),12.820932356,287.055872
product-lines/email_spec3_productSimulator.cil.yml,false,false(unreach-call),251.089840172,2263.625728,false(unreach-call),251.355963636,880.484352
product-lines/minepump_spec1_product33.cil.yml,false,false(unreach-call),8.176816621,217.284608,false(unreach-call),8.417070455,209.465344
product-lines/minepump_spec1_product34.cil.yml,false,false(unreach-call),8.220427953,209.108992,false(unreach-call),8.001029599,214.208512
product-lines/minepump_spec1_product35.cil.yml,false,false(unreach-call),8.158718306,206.372864,false(unreach-call),8.118424201,209.674240
product-lines/minepump_spec1_product36.cil.yml,false,false(unreach-call),8.092598979,213.196800,false(unreach-call),8.242087544,215.851008
